date,time,latitude,longitude,altitude (m)
01/05/2017,13:29:59,39.55105555555555,-12.360694444444444,403251.8125
01/05/2017,13:30:13,39.00775,-11.477444444444444,403142.8125
01/05/2017,13:30:25,38.53611111111111,-10.73188888888889,403049.9375
01/05/2017,13:30:38,38.019194444444445,-9.936,402950.03125
01/05/2017,13:30:50,37.53666666666666,-9.211972222222222,402858.53125
01/05/2017,13:31:02,37.04913888888888,-8.497972222222222,402767.84375
01/05/2017,13:31:15,36.51552777777778,-7.735555555555556,402670.625
01/05/2017,13:31:27,36.01808333333333,-7.041805555555555,402581.96875
01/05/2017,13:31:41,35.431999999999995,-6.24425,402479.96875
01/05/2017,13:31:53,34.92491666666666,-5.570583333333333,402393.84375
01/05/2017,13:32:07,34.32794444444445,-4.795944444444444,402295.09375
01/05/2017,13:32:19,33.81183333333333,-4.14138888888889,402212.03125
01/05/2017,13:32:32,33.24825,-3.441888888888889,402123.78125
01/05/2017,13:32:44,32.72402777777778,-2.8048333333333333,402044.0625
01/05/2017,13:32:57,32.151944444444446,-2.1238055555555557,401959.6875
01/05/2017,13:33:09,31.620166666666666,-1.5033611111111111,401883.75
01/05/2017,13:33:23,30.995361111111112,-0.7891666666666667,401797.625
01/05/2017,13:33:35,30.456194444444442,-0.18508333333333332,401726.0625
01/05/2017,13:33:48,29.868472222222223,0.46119444444444446,401651.0
01/05/2017,13:34:00,29.32272222222222,1.050388888888889,401584.09375
01/05/2017,13:34:12,28.773944444444442,1.6327777777777779,401519.53125
01/05/2017,13:34:26,28.130055555555558,2.3038055555555554,401447.375
01/05/2017,13:34:38,27.575083333333332,2.872,401388.28125
01/05/2017,13:34:51,26.97083333333333,3.480472222222222,401327.28125
01/05/2017,13:35:03,26.41036111111111,4.035805555555555,401273.875
01/05/2017,13:35:17,25.75327777777778,4.676277777777778,401215.15625
01/05/2017,13:35:30,25.140194444444443,5.264083333333334,401164.21875
01/05/2017,13:35:42,24.57186111111111,5.800916666666667,401120.375
01/05/2017,13:35:56,23.905944444444444,6.420527777777778,401073.1875
01/05/2017,13:36:09,23.284972222222223,6.989583333333333,401033.3125
01/05/2017,13:36:23,22.61352777777778,7.595916666666667,400994.71875
01/05/2017,13:36:36,21.98761111111111,8.153111111111112,400963.03125
01/05/2017,13:36:48,21.40786111111111,8.662638888888889,400937.40625
01/05/2017,13:37:00,20.82627777777778,9.167722222222222,400915.34375
01/05/2017,13:37:14,20.145555555555553,9.751583333333333,400894.21875
01/05/2017,13:37:26,19.560222222222222,10.247555555555556,400880.125
01/05/2017,13:37:39,18.924333333333333,10.780361111111112,400869.125
01/05/2017,13:37:51,18.33572222222222,11.268194444444445,400863.0
01/05/2017,13:38:05,17.647111111111112,11.832722222222221,400860.78125
01/05/2017,13:38:17,17.05536111111111,12.312777777777779,400863.21875
01/05/2017,13:38:30,16.412777777777777,12.829027777777778,400870.40625
01/05/2017,13:38:42,15.818277777777778,13.302222222222223,400881.34375
01/05/2017,13:38:54,15.222555555555555,13.772333333333334,400896.40625
01/05/2017,13:39:07,14.575833333333334,14.278250000000002,400917.5
